GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dataset Building Subsystem,com.ctg.dataFab.classification.engine,DataClassificationEngine.ClassificationRule,134,36,30,0,0,4,20,6,5,6
Dataset Building Subsystem,com.ctg.dataFab.classification.engine,DataClassificationEngine.ClassificationContext,212,35,46,0,2,11,31,8,8,8
Dataset Building Subsystem,com.ctg.dataFab.classification.engine,DataClassificationEngine.ClassificationResult,255,67,54,0,0,13,32,18,5,18
Dataset Building Subsystem,com.ctg.dataFab.classification.engine,DataClassificationEngine,29,581,8,30,6,107,7,19,1,5
Dataset Building Subsystem,com.ctg.dataFab.access.entity,AuditLog,83,312,48,30,0,10,39,23,0,23
Dataset Building Subsystem,com.ctg.dataFab.access.entity,DataApproval,110,405,63,39,0,13,51,29,0,29
Dataset Building Subsystem,com.ctg.dataFab.ingest.controller,DataSampleController,66,10,0,0,18,2,5,2,5,2
Dataset Building Subsystem,com.ctg.dataFab.ingest.controller,DatasetController,0,68,0,0,0,18,0,6,0,6
Dataset Building Subsystem,com.ctg.dataFab.qa.controller,QaController,0,85,0,0,0,22,0,8,0,8
Dataset Building Subsystem,com.ctg.dataFab.label.engine,IaaEngine,9,342,5,35,4,56,6,18,1,3
Dataset Building Subsystem,com.ctg.dataFab.label.engine,IaaEngine.IaaDecision,0,21,0,0,0,4,0,1,0,1
Dataset Building Subsystem,com.ctg.dataFab.delivery.dto,PublishRequest,201,34,46,0,0,6,28,10,5,10
Dataset Building Subsystem,com.ctg.dataFab.delivery.dto,PublishResponse,164,31,38,0,0,5,23,9,4,9
Dataset Building Subsystem,com.ctg.dataFab.common.config,SecurityConfig,22,253,0,0,8,32,2,8,2,8
Dataset Building Subsystem,com.ctg.dataFab.common.config,OpenApiConfig,0,41,0,0,0,12,0,2,0,2
Dataset Building Subsystem,com.ctg.dataFab.common.config,MybatisPlusConfig,0,15,0,0,0,4,0,2,0,2
Dataset Building Subsystem,com.ctg.dataFab.qa.dto,EvaluateRequest,164,31,38,0,0,5,23,9,4,9
Dataset Building Subsystem,com.ctg.dataFab.qa.dto,EvaluateResponse.GateInfo,214,27,40,0,6,1,30,7,10,7
Dataset Building Subsystem,com.ctg.dataFab.qa.dto,EvaluateResponse,151,31,34,0,0,5,21,9,4,9
Dataset Building Subsystem,com.ctg.dataFab.ingest.service.impl,DatasetServiceImpl,6,225,4,8,0,44,4,10,0,8
Dataset Building Subsystem,com.ctg.dataFab.ingest.service.impl,DataSampleServiceImpl,9,231,3,13,1,53,3,12,0,7
Dataset Building Subsystem,com.ctg.dataFab.ingest.dto,DataSampleCreateRequest,341,54,78,0,0,10,46,16,7,16
Dataset Building Subsystem,com.ctg.dataFab.ingest.dto,DatasetCreateRequest,230,45,54,0,0,7,31,13,4,13
Dataset Building Subsystem,com.ctg.dataFab.ingest.entity,Dataset,617,98,142,0,0,18,81,29,10,29
Dataset Building Subsystem,com.ctg.dataFab.ingest.entity,DataSample,155,560,88,54,0,18,71,39,0,39
Dataset Building Subsystem,com.ctg.dataFab.common.dto,PageResponse,197,68,46,0,0,13,27,12,4,12
Dataset Building Subsystem,com.ctg.dataFab.common.dto,PageRequest,204,40,44,4,4,8,33,5,9,5
Dataset Building Subsystem,com.ctg.dataFab.common.dto,ApiResponse,234,111,54,0,0,28,32,16,5,16
Dataset Building Subsystem,com.ctg.dataFab.delivery.controller,DeliveryController,0,77,0,0,0,20,0,7,0,7
Dataset Building Subsystem,com.ctg.dataFab.label.dto,SubmitLabelRequest,197,38,46,0,0,6,27,11,4,11
Dataset Building Subsystem,com.ctg.dataFab.label.dto,CreateLabelTaskRequest,329,70,78,0,0,11,43,19,4,19
